title,category,total_seasons,total_episodes,info_links,image_url
映画「宇宙なんちゃら こてつくん」うっかり出てきた宇宙人を探せ！,2026年日版動畫電影,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/6452""}]",https://d28s5ztqvkii64.cloudfront.net/images/anime/6452/zaEHYddb8X_2x.webp
最終樂章 吹響吧！上低音號 後篇,2026年日版動畫電影,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/6373""}]","https://d28s5ztqvkii64.cloudfront.net/images/anime/6373/vlJRjiHuCA_2x.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/6373/i0fOtR8Sqm.webp"
電影 名偵探光之美少女！不可思議庭園與兩人的祕密,2026年日版動畫電影,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/6342""}]","https://d28s5ztqvkii64.cloudfront.net/images/anime/6342/BiFUuwkKtw_2x.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/6342/dOFLBEge9i.webp"
我們是宇宙人,2026年日版動畫電影,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/6140""}]","https://d28s5ztqvkii64.cloudfront.net/images/anime/6140/5wDGoMCqsv_2x.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/6140/xzagKKz9O4.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/6140/tCOeLCiWmC.webp"
致身在遙遠彼方的你,2026年日版動畫電影,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/6261""}]","https://d28s5ztqvkii64.cloudfront.net/images/anime/6261/ODfXpw7QV7_2x.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/6261/5FaOgo0t6D.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/6261/8T1ZKjIlYb.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/6261/kZvi9t0mBT.webp"
少女與戰車 最終章 第5話,2026年日版動畫電影,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/6134""}]","https://d28s5ztqvkii64.cloudfront.net/images/anime/6134/PHQtmPN9PE_2x.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/6134/4vCKIdMJWx.webp"
BanG Dream！ Ave Mujica prima aurora,2026年日版動畫電影,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/6007""}]","https://d28s5ztqvkii64.cloudfront.net/images/anime/6007/kT982eALcl_2x.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/6007/D8oAOZKRX4.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/6007/ccKQc7O5an.webp"
青春豬頭少年不會夢到親愛好朋友,2026年日版動畫電影,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/6069""}]","https://d28s5ztqvkii64.cloudfront.net/images/anime/6069/mKkgrxgeoE_2x.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/6069/CHaDjRNyEN.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/6069/vBpN1BRmcW.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/6069/dorjNKFvXa.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/6069/nT5vzlan24.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/6069/uZgiVk4Sb2.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/6069/yU7wb7EKpo.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/6069/YTjInFwjRV.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/6069/KW3f3equtl.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/6069/0R2OzCbFan.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/6069/fWLMONJDiE.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/6069/gaVpaOBLSH.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/6069/SOW7GgcE38.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/6069/bTYTaRuS1p.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/6069/cKwFQuei2g.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/6069/piRMtqrIqG.webp"
前橋魔女 ～魔女見習いのエモエモリーズ～,2026年日版動畫電影,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/6307""}]","https://d28s5ztqvkii64.cloudfront.net/images/anime/6307/LWo95zvFrZ_2x.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/6307/7jsY4DSdIZ.webp"
劇場版 來自深淵：覺醒的神秘,2026年日版動畫電影,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/4098""}]","https://d28s5ztqvkii64.cloudfront.net/images/anime/4098/zXhuNBNcc8_2x.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/4098/Osd9CjIyXE.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/4098/LHXIOtGgkV.webp"
永遠的大和號 REBEL3199 第七章 虹色の輪廻,2026年日版動畫電影,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/6453""}]",https://d28s5ztqvkii64.cloudfront.net/images/anime/6453/nQ6HvgK6QR_2x.webp
GROTESQQQUE -グロテスク-,2026年日版動畫電影,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/5329""}]","https://d28s5ztqvkii64.cloudfront.net/images/anime/5329/HKrXsgeqNX_2x.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5329/4QyrHtr5D5.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5329/nlioQQ5z0N.webp"
甜甜仙子：奔向憧憬的夢想 真心二重奏,2026年日版動畫電影,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/6241""}]","https://d28s5ztqvkii64.cloudfront.net/images/anime/6241/Oz7H7Vbt9g_2x.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/6241/gpQjlOp7fL.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/6241/BJEjl2Y8d2.webp"
樂園追放 心之共鳴,2026年日版動畫電影,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/4974""}]","https://d28s5ztqvkii64.cloudfront.net/images/anime/4974/U6k17qDiZV_2x.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/4974/dSs4GZdh7L.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/4974/k8W9pqWfWy.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/4974/Gs1rSlzHE8.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/4974/Uuvl2SOu4V.webp"
魔法使之夜,2026年日版動畫電影,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/3222""}]","https://d28s5ztqvkii64.cloudfront.net/images/anime/3222/f6sy0LlBEF_2x.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/3222/3222_141421.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/3222/CxKgEOzklU.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/3222/IQ32yAo9f4.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/3222/Hnz25c0hrj.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/3222/f1ocUGJjca.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/3222/5F6EGGzL76.webp"
裝甲騎兵波德姆茲 灰色の魔女,2026年日版動畫電影,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/6218""}]","https://d28s5ztqvkii64.cloudfront.net/images/anime/6218/XNkUVi2Plv_2x.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/6218/sZkRLGmh6g.webp"
劇場版 藥師少女的獨語 亡妃的秘寶,2026年日版動畫電影,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/6101""}]","https://d28s5ztqvkii64.cloudfront.net/images/anime/6101/xYq3gxZnXX_2x.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/6101/Ro8wzT2LVy.webp"
雛菊的人生,2026年日版動畫電影,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/5815""}]",https://d28s5ztqvkii64.cloudfront.net/images/anime/5815/qO8Zua8dPf.webp
KILLTUBE,2026年日版動畫電影,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/5080""}]","https://d28s5ztqvkii64.cloudfront.net/images/anime/5080/to0USnvqTn.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5080/vQpBov5EBF.webp"
新劇場版☆KERORO 軍曹 復活後隨即面臨地球滅亡危機是也！,2026年日版動畫電影,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/5052""}]","https://d28s5ztqvkii64.cloudfront.net/images/anime/5052/mzquU18LOR_2x.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5052/s2A9u0g7Av.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5052/444Mmej68m.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5052/DYd9ZPCIOR.webp"
永遠的大和號 REBEL3199 第六章 碧い迷宮,2026年日版動畫電影,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/6274""}]","https://d28s5ztqvkii64.cloudfront.net/images/anime/6274/0htuimxsfO_2x.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/6274/vC598O72mS.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/6274/wTEB8gHNIa.webp"
劇場版 物怪 第三章 蛇神,2026年日版動畫電影,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/5761""}]","https://d28s5ztqvkii64.cloudfront.net/images/anime/5761/YeEgObrB9v_2x.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5761/MUUWdypFad.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5761/i6zxQ9Nonv.webp"
機動警察 EZY FILE 1,2026年日版動畫電影,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/5467""}]","https://d28s5ztqvkii64.cloudfront.net/images/anime/5467/t3JrdB28Qz_2x.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5467/iZKKoaONDB.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5467/ALvIK0nM0A.webp"
Love Live！蓮之空女學院學園偶像俱樂部 Bloom Garden Party,2026年日版動畫電影,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/5895""}]","https://d28s5ztqvkii64.cloudfront.net/images/anime/5895/JQIBbTG8FD.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5895/Ui4lPL6WqA.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5895/95k8DyXFLc.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5895/Q0A1sh2hdT.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5895/L2JmgKfH6P.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5895/vJFxJHQXyo.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5895/fw6LFqrRbi.webp"
劇場版 魔法科高中的劣等生 四葉繼承篇,2026年日版動畫電影,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/5313""}]","https://d28s5ztqvkii64.cloudfront.net/images/anime/5313/EeLJ3lS7WE_2x.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5313/boeUrIwJ2U.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5313/XQnxdtHpe8.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5313/szQIq4WDeo.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5313/GNSuJMmykU.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5313/mOE3PTp8LO.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5313/nDRfO9KG9t.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5313/EAfpfSUxGx.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5313/kmkUcNuWKE.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5313/LolSXQGS4u.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5313/rYcdugwe2z.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5313/ZCSfDT9u09.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5313/DsRxFInADz.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5313/7pulU7fNMi.webp"
最終樂章 吹響吧！上低音號 前篇,2026年日版動畫電影,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/5769""}]","https://d28s5ztqvkii64.cloudfront.net/images/anime/5769/bswoWNNZ22.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5769/SLudO1ApFC.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5769/hhJ278rzf1.webp"
少女與戰車：更加相親相愛作戰！第4幕,2026年日版動畫電影,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/6289""}]",https://d28s5ztqvkii64.cloudfront.net/images/anime/6289/RbXb6LUgBy.webp
名偵探柯南：高速公路的墮天使,2026年日版動畫電影,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/6024""}]","https://d28s5ztqvkii64.cloudfront.net/images/anime/6024/920Vf6Ufkj.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/6024/vLN6ykoO0L.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/6024/NoDOgPYJGx.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/6024/eJEbiy1bf1.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/6024/Lqm0qoMq5g.webp"
煙囪小鎮的普佩 ～約束の時計台～,2026年日版動畫電影,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/5816""}]","https://d28s5ztqvkii64.cloudfront.net/images/anime/5816/2ujqp5AROe.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5816/selHYW61Lu.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5816/6qGKyRAGJV.webp"
劇場版「暗殺教室」：我們的時光,2026年日版動畫電影,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/6035""}]","https://d28s5ztqvkii64.cloudfront.net/images/anime/6035/YLLLiQHxTh.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/6035/vwS3qPfJQk.webp"
おしり前マン～復活のおしり前帝国～,2026年日版動畫電影,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/6260""}]",https://d28s5ztqvkii64.cloudfront.net/images/anime/6260/aqGRMyZ0rO.webp
パリに咲くエトワール,2026年日版動畫電影,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/6003""}]","https://d28s5ztqvkii64.cloudfront.net/images/anime/6003/dcPFk9MA23.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/6003/drrhATybrM.webp"
電影秘密的偶像公主 まんかいバズリウムライブ！,2026年日版動畫電影,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/6156""}]",https://d28s5ztqvkii64.cloudfront.net/images/anime/6156/LB2kKfoLFy.webp
もし、これから生まれるのなら,2026年日版動畫電影,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/6246""}]",https://d28s5ztqvkii64.cloudfront.net/images/anime/6246/2porI25NkN.webp
少女與戰車：更加相親相愛作戰！第3幕,2026年日版動畫電影,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/6247""}]",https://d28s5ztqvkii64.cloudfront.net/images/anime/6247/ZIgQ9nJ6Ck.webp
花綠青綻放之時,2026年日版動畫電影,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/5211""}]","https://d28s5ztqvkii64.cloudfront.net/images/anime/5211/yFjhjgxiJD.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5211/Cbw3uKTtvM.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5211/D18rZNieMB.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5211/BZ90gPudbp.webp"
